Transaction_ID,Date,Product,Category,Quantity,Amount,Unit_Cost,Total_Cost,Profit
TXN-1001,2026-01-15,Wireless Mouse,Electronics,12,300.00,10.00,120.00,180.00
TXN-1002,2026-01-18,Bluetooth Speaker,Electronics,5,225.00,20.00,100.00,125.00
TXN-1003,2026-01-20,Leather Wallet,Apparel,8,240.00,12.00,96.00,144.00
TXN-1004,2026-02-02,Running Shoes,Apparel,15,1200.00,35.00,525.00,675.00
TXN-1005,2026-02-10,Coffee Maker,Home & Kitchen,3,360.00,60.00,180.00,180.00
TXN-1006,2026-02-15,Keyboard,Electronics,10,350.00,15.00,150.00,200.00
TXN-1007,2026-02-28,Python Programming Book,Books,20,800.00,15.00,300.00,500.00
TXN-1008,2026-03-05,Ceramic Mug,Home & Kitchen,25,300.00,4.00,100.00,200.00
TXN-1009,2026-03-12,Smart Watch,Electronics,4,600.00,75.00,300.00,300.00
TXN-1010,2026-03-22,Desk Organizer,Home & Kitchen,15,330.00,8.00,120.00,210.00
TXN-1011,2026-04-01,Backpack,Apparel,10,500.00,20.00,200.00,300.00
TXN-1012,2026-04-10,Wireless Earbuds,Electronics,18,1080.00,25.00,450.00,630.00
TXN-1013,2026-04-18,Vacuum Cleaner,Home & Kitchen,2,400.00,110.00,220.00,180.00
TXN-1014,2026-05-02,T-Shirt,Apparel,30,600.00,8.00,240.00,360.00
TXN-1015,2026-05-15,Data Science Handbook,Books,12,660.00,22.00,264.00,396.00
TXN-1016,2026-05-20,Laptop Stand,Electronics,8,320.00,18.00,144.00,176.00
TXN-1017,2026-06-05,Office Chair,Home & Kitchen,5,900.00,90.00,450.00,450.00
TXN-1018,2026-06-12,Sunglasses,Apparel,14,490.00,14.00,196.00,294.00
TXN-1019,2026-06-25,Mechanical Pencil Set,Books,40,200.00,2.00,80.00,120.00
TXN-1020,2026-07-04,LED Desk Lamp,Home & Kitchen,12,360.00,12.00,144.00,216.00
TXN-1021,2026-07-15,Yoga Mat,Apparel,22,550.00,10.00,220.00,330.00
TXN-1022,2026-07-28,External Hard Drive,Electronics,7,595.00,40.00,280.00,315.00
TXN-1023,2026-08-01,Air Fryer,Home & Kitchen,6,660.00,55.00,330.00,330.00
TXN-1024,2026-08-10,Notebook (5-Pack),Books,35,350.00,4.00,140.00,210.00
TXN-1025,2026-08-15,Water Bottle,Home & Kitchen,20,360.00,7.00,140.00,220.00
